ecosystem,component_name,component_version,purl,vulnerability_id,cve,vulnerability_description,is_vulnerable
maven,org.yaml:snakeyaml,1.28,pkg:maven/org.yaml/snakeyaml@1.28,GHSA-w37g-rhq8-7m4j,CVE-2022-41854,Snakeyaml vulnerable to Stack overflow leading to denial of service,True
maven,ch.qos.logback:logback-core,1.5.18,pkg:maven/ch.qos.logback/logback-core@1.5.18,GHSA-25qh-j22f-pwp8,CVE-2025-11226,QOS.CH logback-core is vulnerable to Arbitrary Code Execution through file processing,True
maven,ch.qos.logback:logback-core,1.5.18,pkg:maven/ch.qos.logback/logback-core@1.5.18,GHSA-qqpg-mvqg-649v,,Logback allows an attacker to instantiate classes already present on the class path,True
maven,com.google.guava:guava,22.0,pkg:maven/com.google.guava/guava@22.0,GHSA-5mg8-w23w-74h3,CVE-2020-8908,Information Disclosure in Guava,True
maven,com.google.guava:guava,22.0,pkg:maven/com.google.guava/guava@22.0,GHSA-7g45-4rm6-3mm3,CVE-2023-2976,Guava vulnerable to insecure use of temporary directory,True
maven,com.google.guava:guava,22.0,pkg:maven/com.google.guava/guava@22.0,GHSA-mvr2-9pj6-7w5j,CVE-2018-10237,Denial of Service in Google Guava,True
maven,org.bouncycastle:bcprov-jdk15on,1.69,pkg:maven/org.bouncycastle/bcprov-jdk15on@1.69,GHSA-8xfc-gm6g-vgpv,CVE-2024-29857,Bouncy Castle certificate parsing issues cause high CPU usage during parameter evaluation.,True
maven,org.bouncycastle:bcprov-jdk15on,1.69,pkg:maven/org.bouncycastle/bcprov-jdk15on@1.69,GHSA-hr8g-6v94-x4m9,CVE-2023-33201,Bouncy Castle For Java LDAP injection vulnerability,True
maven,org.bouncycastle:bcprov-jdk15on,1.69,pkg:maven/org.bouncycastle/bcprov-jdk15on@1.69,GHSA-v435-xc8x-wvr9,CVE-2024-30171,"Bouncy Castle affected by timing side-channel for RSA key exchange (""The Marvin Attack"")",True
maven,org.bouncycastle:bcprov-jdk15on,1.69,pkg:maven/org.bouncycastle/bcprov-jdk15on@1.69,GHSA-wjxj-5m7g-mg7q,CVE-2023-33202,Bouncy Castle Denial of Service (DoS),True
maven,ch.qos.logback:logback-core,1.5.21,pkg:maven/ch.qos.logback/logback-core@1.5.21,GHSA-qqpg-mvqg-649v,,Logback allows an attacker to instantiate classes already present on the class path,True
maven,org.apache.tomcat.embed:tomcat-embed-core,11.0.7,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@11.0.7,GHSA-42wg-hm62-jcwg,CVE-2025-49124,Apache Tomcat installer for Windows has an untrusted search path vulnerability,True
maven,org.apache.tomcat.embed:tomcat-embed-core,11.0.7,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@11.0.7,GHSA-gqp3-2cvr-x8m3,CVE-2025-48989,Apache Tomcat Improper Resource Shutdown or Release vulnerability,True
maven,org.apache.tomcat.embed:tomcat-embed-core,11.0.7,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@11.0.7,GHSA-h3gc-qfqq-6h8f,CVE-2025-48988,Apache Tomcat - DoS in multipart upload,True
maven,org.apache.tomcat.embed:tomcat-embed-core,11.0.7,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@11.0.7,GHSA-hgrr-935x-pq79,CVE-2025-61795,Apache Tomcat Vulnerable to Improper Resource Shutdown or Release,True
maven,org.apache.tomcat.embed:tomcat-embed-core,11.0.7,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@11.0.7,GHSA-vfww-5hm6-hx2j,CVE-2025-55754,"Apache Tomcat Vulnerable to Improper Neutralization of Escape, Meta, or Control Sequences",True
maven,org.apache.tomcat.embed:tomcat-embed-core,11.0.7,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@11.0.7,GHSA-wc4r-xq3c-5cf3,CVE-2025-49125,Apache Tomcat - Security constraint bypass for pre/post-resources,True
maven,org.apache.tomcat.embed:tomcat-embed-core,11.0.7,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@11.0.7,GHSA-wmwf-9ccg-fff5,CVE-2025-55752,Apache Tomcat Vulnerable to Relative Path Traversal,True
maven,org.apache.shiro:shiro-core,1.10.0,pkg:maven/org.apache.shiro/shiro-core@1.10.0,GHSA-jc7h-c423-mpjc,CVE-2023-46749,Apache Shiro vulnerable to path traversal,True
maven,org.apache.velocity:velocity,1.6.4,pkg:maven/org.apache.velocity/velocity@1.6.4,GHSA-59j4-wjwp-mw9m,CVE-2020-13936,Sandbox Bypass in Apache Velocity Engine,True
maven,org.apache.commons:commons-lang3,3.11,pkg:maven/org.apache.commons/commons-lang3@3.11,GHSA-j288-q9x7-2f5v,CVE-2025-48924,Apache Commons Lang is vulnerable to Uncontrolled Recursion when processing long inputs,True
maven,commons-net:commons-net,3.7.1,pkg:maven/commons-net/commons-net@3.7.1,GHSA-cgp8-4m63-fhh5,CVE-2021-37533,Apache Commons Net vulnerable to information leakage via malicious server,True
maven,org.apache.tomcat.embed:tomcat-embed-core,11.0.6,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@11.0.6,GHSA-42wg-hm62-jcwg,CVE-2025-49124,Apache Tomcat installer for Windows has an untrusted search path vulnerability,True
maven,org.apache.tomcat.embed:tomcat-embed-core,11.0.6,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@11.0.6,GHSA-gqp3-2cvr-x8m3,CVE-2025-48989,Apache Tomcat Improper Resource Shutdown or Release vulnerability,True
